"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Language of Original Document","Document Type","Source"
"Sumboh J.G.; Appiah G.; Oblim F.T.; Oboubie E.; Wilson M.D.; Kaneko S.; deSouza D.K.","Sumboh, Jeffrey Gabriel (57210793780); Appiah, Gabriel (57189236550); Oblim, Frank Teye (59954133700); Oboubie, Emmanuel (60609476100); Wilson, Michael David (56909224500); Kaneko, Satoshi (55584173200); deSouza, Dziedzom K. (60608969300)","57210793780; 57189236550; 59954133700; 60609476100; 56909224500; 55584173200; 60608969300","A GIS and field-based assessment of the ecological consequences of illegal mining (galamsey) on blackfly breeding sites in Ghana: implications for the sustainable development goals","2026","0","10.1186/s41182-026-00944-4","https://www.scopus.com/pages/publications/105037523793?origin=resultslist","Background: The Ofin River basin has historically supported Simulium blackfly breeding, vectors of Onchocerca, yet recent Programme reports have noted a sharp decline in monitored populations. With illegal artisanal mining (galamsey) expanding around the basin, this study assessed how associated ecological changes may influence habitat suitability for blackfly breeding across three riverine communities (Adwuman, Buabenso, and Kyekyewere). Methods: Water discharge and quality were assessed through field measurements and laboratory analyses of pH, electrical conductivity, turbidity, colour, total suspended solids (TSS), and total dissolved solids (TDS). Satellite imagery from 2008, 2017, and 2022/23 was analysed using Iso Cluster Unsupervised Classification algorithm (ISODATA), Principal Raster Components Analysis (PRCA) and the Normalized Difference Vegetation Index (NDVI) to quantify transitions and vegetation health using ArcGIS Pro. Results: Water discharge rates varied (Adwuman: 181.57 m3/s, Buabenso: 78.93 m3/s, Kyekyewere: 111.95 m3/s) and quality analysis showed differences in key parameters. Adwuman’s pH was 6.98, conductivity (145.5 µS/cm), turbidity (3392.5 NTU), colour (3375 Hz) and TSS (3630 mg/L). Buabenso had a pH of 6.98, conductivity 146.75 µS/cm, turbidity 3525 NTU, colour at 3812.5 Hz and TSS of 3857.5 mg/L. Kyekyewere recorded the lowest pH (6.95) and conductivity (145.25 µS/cm), but the highest turbidity (3725 NTU), colour (4175 Hz) and TSS (4342.5 mg/L). Forest cover declined by 10.72, 7.41, and 8.80 percentage points in Adwuman, Buabenso, and Kyekyewere, respectively, while light vegetation increased by 15.71, 15.00, and 18.93 points. Water coverage expanded by 10.81, 6.12, and 5.26 percentage points across the communities, indicating hydrological alteration. NDVI revealed widespread declines in vegetation health and density, particularly near mining zones. Conclusion: The combined effects of extreme sedimentation, vegetation degradation and riparian disturbance suggest ecological conditions that are increasingly unsuitable for blackfly breeding in the Ofin River basin. The disruptions also threaten food security, clean water access and ecosystem integrity, with implications for achieving SDG 2, 3, 6, and 15. Strengthened River management, reforestation of degraded riparian areas, enforcement against illegal mining and community-based monitoring are needed to restore ecological function and safeguard both biodiversity and public health. © The Author(s) 2026.","Blackflies; Illegal mining; Land cover change; Onchocerciasis; Remote sensing; Vector ecology","","English","Article","Scopus"
"Masindi V.; Chatzisymeon E.; Kortidis I.; Foteinis S.","Masindi, Vhahangwele (55917264900); Chatzisymeon, Efthalia (14424041800); Kortidis, Ioannis (33068069400); Foteinis, Spyros (25923847800)","55917264900; 14424041800; 33068069400; 25923847800","Assessing the sustainability of acid mine drainage (AMD) treatment in South Africa","2018","89","10.1016/j.scitotenv.2018.04.108","https://www.scopus.com/pages/publications/85045698594?origin=resultslist","The environmental sustainability of acid mine drainage (AMD) treatment at semi-industrial scale is examined by means of the life cycle assessment (LCA) methodology. An integrated process which includes magnesite, lime, soda ash and CO2 bubbling treatment was employed to effectively treat, at semi-industrial scale, AMD originating from a coal mine in South Africa. Economic aspects are also discussed. AMD is a growing problem of emerging concern that cause detrimental effects to the environment and living organisms, including humans, and impose on development, health, access to clean water, thus also affect economic growth and cause social instability. Therefore, sustainable and cost effective treatment methods are required. A life cycle cost analysis (LCCA) revealed the viability of the system, since the levelized cost of AMD treatment can be as low as R112.78/m3 (€7.60/m3 or $9.35/m3). Moreover, due to its versatility, the system can be used both at remote locales, at stand-alone mode (e.g. using solar energy), or can treat AMD at industrial scale, thus substantially improving community resilience at local and national level. In terms of environmental sustainability, 29.6 kg CO2eq are emitted per treated m3 AMD or its environmental footprint amount to 2.96 Pt/m3. South Africa's fossil-fuel depended energy mix and liquid CO2 consumption were the main environmental hotspots. The total environmental footprint is reduced by 45% and 36% by using solar energy and gaseous CO2, respectively. Finally, AMD sludge valorisation, i.e. mineral recovery, can reduce the total environmental footprint by up to 12%. © 2018 Elsevier B.V.","Acid rock drainage (ARD); Hazardous wastes; Scenario analysis; SimaPro; Wastewater treatment; Water management","Coal Mining; Hydrogen-Ion Concentration; South Africa; Waste Disposal, Fluid; Waste Products; Water Pollutants, Chemical; South Africa; Biology; Carbon dioxide; Coal mines; Cost benefit analysis; Cost effectiveness; Costs; Drainage; Fossil fuels; Life cycle; Lime; Magnesite; Sodium Carbonate; Solar energy; Wastewater treatment; Water management; Water treatment; aluminum; calcium; calcium oxide; carbon dioxide; iron; magnesium; magnesium oxide; manganese; sodium; sodium carbonate; sodium hydroxide; sulfate; Acid rock drainage; Cost effective treatments; Environmental sustainability; Hazardous wastes; Life Cycle Assessment (LCA); Life-cycle cost analysis; Scenario analysis; Simapro; acid mine drainage; assessment method; carbon dioxide; hazardous waste; scenario analysis; sustainability; wastewater treatment; water management; acid mine drainage; acidification; acidity; alkalinity; Article; climate change; coal mining; cost effectiveness analysis; economic aspect; economic development; ecotoxicity; effluent; electric conductivity; environmental impact; environmental sustainability; eutrophication; hazardous waste; ionizing radiation; land use; landfill; life cycle assessment; nonhuman; ozone depletion; photochemistry; priority journal; renewable energy; reverse osmosis; solar energy; South Africa; waste water management; water hardness; water management; water quality; analysis; coal mining; pH; procedures; sewage; waste; water pollutant; Sustainable development","English","Article","Scopus"
"Fitriyah P.; Nurhaeni I.D.A.; Rahmanto A.N.; Kartono D.T.","Fitriyah, Pipit (57320711500); Nurhaeni, Ismi Dwi Astuti (57190937123); Rahmanto, Andre N. (57191827438); Kartono, Drajat Tri (57191474243)","57320711500; 57190937123; 57191827438; 57191474243","Crisis communication in megathrust discourse: Risk preparedness or fear amplification?","2025","0","10.58946/search-17.2.P4","https://www.scopus.com/pages/publications/105013288641?origin=resultslist","This research examines how crisis communication influences public responses to the risk of megathrust earthquakes, particularly whether digital discourse fosters preparedness or amplifies fear. More specifically, this research looks at how public engagement, risk awareness, and perceived constraints shape behavioural outcomes in disaster contexts, such as a megathrust earthquake, using the Situational Theory of Publics (Grunig, 1997) and Risk Perception Theory (Slovic, 1987). To address these dynamics, a mixed-methods approach was applied: computational text mining and qualitative interviews. To contextualise the digital discourse, semi-structured interviews were conducted with institutional actors (BMKG, BNPB), disaster communication specialists, and community-based organisations. Using Voyant Tools, incorporating Brown and Yule’s (1983) framework to identify thematic patterns through word frequency and co-occurrence analysis, the findings reveal that the corpus consisted of 1,253,214 words, 61,885 unique word forms as well as dominant terms such as “megathrust” (64,160), “gempa” (33,146), and “potensi” (6,553). This also indicates heightened public concern and awareness as well as that public preparedness is strongly influenced by risk perception and involvement. However, high levels of constraint recognition—manifested as distrust in institutions or uncertainty about appropriate actions—diminish proactive responses. While BMKG and BNPB were frequently mentioned, the clear message was lack of clarity, emotional resonance, and educational value. This research underscores the need to formalise empathetic, two-way crisis communication protocols through national SOPs. In summary, integrating adaptive messaging, real-time sentiment monitoring, and inclusive engagement strategies is vital for transforming awareness into preparedness and mitigating fear-driven reactions. © SEARCH Journal 2025.","Crisis communication; preparedness; risk perception; situational theory of publics; social media","","English","Article","Scopus"
"Ginzarly M.; Teller J.; Dujardin S.","Ginzarly, Manal (57201250553); Teller, Jacques (56242316100); Dujardin, Sébastien (50461289000)","57201250553; 56242316100; 50461289000","Social media use in disaster response: empowering community resilience","2025","6","10.1080/17538947.2025.2521791","https://www.scopus.com/pages/publications/105009408699?origin=resultslist","This article contributes to ongoing discussions on the role of grassroots mobilizations on social media in building community resilience and tackling specific challenges during disaster events. It investigates the use of two social media platforms, Facebook and Twitter, now referred to as X, during the 2021 flood in Belgium, both in the immediate aftermath of the crisis and in the short-term. First, it analyzes the activities of Facebook community groups established post-crisis over a six-month period. Then, it examines tweets related to the 2021 flood in Belgium. Finally, it complements the social media data with online interviews conducted with Facebook groups administrators. The analytical framework employs (1) a social media data-driven quantitative and qualitative text analysis using topic modeling and sentiment analysis, and (2) an inductive thematic analysis of interviews. The findings highlight the different roles played by the two social media platforms. Facebook served as an effective platform to mobilize and organize local communities for immediate and practical support, while Twitter served as a platform for broader global engagement and advocacy. The convergence of results from diverse data sources provides comprehensive insights into the effectiveness and challenges of leveraging social media for community resilience in the aftermath of disaster events. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","community resilience; Crisis response; Facebook groups; grassroots mobilization; social media; topic modeling","Data mining; Emergency services; Sentiment analysis; Tweets; Belgium; Community resiliences; Crisis response; Facebook; Facebook group; Grassroot mobilization; Mobilisation; Social media; Social media platforms; Topic Modeling; community response; disaster management; disaster relief; local participation; social media; Social networking (online)","English","Article","Scopus"
"Valinejad J.; Mili L.","Valinejad, Jaber (56531955700); Mili, Lamine (7003600460)","56531955700; 7003600460","Cyber-Physical-Social Model of Community Resilience by Considering Critical Infrastructure Interdependencies","2023","16","10.1109/JIOT.2023.3277450","https://www.scopus.com/pages/publications/85160245517?origin=resultslist","Each year, several disasters occur, resulting in enormous human, infrastructural, and economic losses. To minimize losses and ensure an adequate emergency response, it is vital to prepare the community for greater shock absorption and recovery after an occurrence. This raises the concept of community resilience and also demands appropriate metrics and prediction models for improved preparedness and adaptability. While a community is impacted in three main ways during a disaster, namely social, physical, and cyber there are currently no tools to model their interrelationship. Thus, this article presents a multiagent cyber-physical-social model of community resilience, taking into account the interconnection of power systems, emergency services, social communities, and cyberspace. To validate the model, we used data on two hurricanes (Irma and Harvey) collected from Twitter, GoogleTrends, FEMA, power utilities, CNN, and Snopes (a fact-checking organization). We also describe methods for quantifying social metrics, such as the level of anxiety, risk perception, and cooperation using social sensing, natural language processing, and text mining tools. We examine the suggested paradigm through three different case studies: 1) hurricanes Irma and Harvey; 2) a group of nine agents; and 3) a society comprised of six distinct communities. According to the results, cooperation can positively change individual behavior. Relationships within a community are so crucial that a smaller population with greater empathy may be more resilient. Similar dynamic changes in social characteristics occur when two empathetic communities share resources after a disaster. © 2014 IEEE.","Community resilience; critical infrastructures; cyber-physical-social system; fake news; natural language processing; power systems; social media; urban computing","Cyber Physical System; Cybersecurity; Disaster prevention; Emergency services; Fault tolerance; Hurricanes; Internet of things; Losses; Multi agent systems; Natural language processing systems; Public works; Risk perception; Social networking (online); Community resiliences; Cybe-physical-social system; Cyber physicals; Fake news; Language processing; Natural language processing; Natural languages; Power; Power system; Resilience; Social media; Social systems; Urban computing; Critical infrastructures","English","Article","Scopus"
"Odell S.D.","Odell, Scott D. (57200119776)","57200119776","Desalination in Chile's mining regions: Global drivers and local impacts of a technological fix to hydrosocial conflict","2021","34","10.1016/j.jclepro.2021.129104","https://www.scopus.com/pages/publications/85115923269?origin=resultslist","This article examines the nature and impacts of an expansion of the use of desalinated seawater by the mining industry, within the context of climate change. Specifically, it investigates how and why large-scale desalination operations have been employed to respond to community-based conflict over scarce freshwater resources in mining regions, and with what effect. This question was examined through interviews, focus groups, and participant observation among community members, mining company representatives, and government officials in three case study sites in Chile that have experienced recent conflict over water: regions surrounding the Escondida and Los Pelambres mines, which are both employing desalination to resolve concerns over water, and the Andina mine, which is not. Methods also included interviews and a focus group with national-level stakeholders in the capital, Santiago, and analysis of data on water use in Chile's copper mining industry overall. Findings indicate that a broad range of stakeholders are optimistic about the potential for desalination to reduce conflict over water in mining regions. In practice, the intervention has eased tensions with and brought benefits to highland communities near mining operations, but is likely to displace socioenvironmental harms of mining to coastal regions. Moreover, the addition of seawater supplies to mining operations will not reduce freshwater use overall, but rather, permit an expansion of mining production and its associated local and global impacts. The article concludes that desalination cannot resolve socioenvironmental conflict in mining regions if the underlying political and economic structures that cause the need for them in the first place are not addressed. © 2021 Elsevier Ltd","Chile; Climate change; Conflict; Extractive industries; Political ecology; Water desalination","Climate change; Ecology; Economics; Seawater; Water filtration; Water supply; Chile; Conflict; Extractive industry; Focus groups; Large-scales; Local impacts; Mining operations; Over water; Political ecology; Water desalination; Desalination","English","Article","Scopus"
"Xu J.; Qiang Y.","Xu, Jinwen (57226779930); Qiang, Yi (36242248900)","57226779930; 36242248900","Analysing Information Diffusion in Natural Hazards using Retweets - a Case Study of 2018 Winter Storm Diego","2022","13","10.1080/19475683.2021.1954086","https://www.scopus.com/pages/publications/85112659849?origin=resultslist","Information diffusion on social media during disasters is an important indicator of community resilience. As a common natural hazard in the U.S., winter storms often cause adverse socio-economic impacts on human society. Understanding people’s perception and behaviours during winter storms is important to mitigate negative impacts and promote community resilience. This study applies text mining and spatial analysis methods on Twitter data during Winter Storm Diego on 2018 December. Different from previous studies focusing on original tweets, this study utilized retweets to model information diffusion in the contiguous United States and analysed the geographic distribution of information flows in various topics. The diffusion extent and direction of the storm-related retweets were compared among different topics. Kernel density maps and standard deviational ellipse were applied to model the spatial distribution of the retweets in different topics. The result shows that people outside of the affected areas expressed more negative sentiment towards the storm than people in the affected areas. Also, distance decay of retweet density has been found and the decay rate differs in different topics. These findings of the analyses will provide support for disaster relief, information communication and broadcasting through social media platforms. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group, on behalf of Nanjing Normal University.","kernel density; sentiment analysis; Social media; text mining; topic modelling","United States; data assimilation; disaster relief; information and communication technology; natural hazard; perception; social behavior; social media; social network; spatial analysis; spatial distribution; storm; technology diffusion; winter","English","Article","Scopus"
"Jiang H.; Qiang M.; Lin P.","Jiang, Hanchen (56188386100); Qiang, Maoshan (23006096200); Lin, Peng (36189833900)","56188386100; 23006096200; 36189833900","Assessment of online public opinions on large infrastructure projects: A case study of the Three Gorges Project in China","2016","85","10.1016/j.eiar.2016.06.004","https://www.scopus.com/pages/publications/84978284976?origin=resultslist","Public opinion becomes increasingly salient in the ex post evaluation stage of large infrastructure projects which have significant impacts to the environment and the society. However, traditional survey methods are inefficient in collection and assessment of the public opinion due to its large quantity and diversity. Recently, Social media platforms provide a rich data source for monitoring and assessing the public opinion on controversial infrastructure projects. This paper proposes an assessment framework to transform unstructured online public opinions on large infrastructure projects into sentimental and topical indicators for enhancing practices of ex post evaluation and public participation. The framework uses web crawlers to collect online comments related to a large infrastructure project and employs two natural language processing technologies, including sentiment analysis and topic modeling, with spatio-temporal analysis, to transform these comments into indicators for assessing online public opinion on the project. Based on the framework, we investigate the online public opinion of the Three Gorges Project on China's largest microblogging site, namely, Weibo. Assessment results present spatial-temporal distributions of post intensity and sentiment polarity, reveals major topics with different sentiments and summarizes managerial implications, for ex post evaluation of the world's largest hydropower project. The proposed assessment framework is expected to be widely applied as a methodological strategy to assess public opinion in the ex post evaluation stage of large infrastructure projects. © 2016 Elsevier Inc.","China; Public opinion assessment; Sentiment analysis; Social media; Three Gorges Project; Topic modeling","China; Three Gorges; Concrete dams; Data mining; Modeling languages; Natural language processing systems; Social networking (online); China; Public opinions; Sentiment analysis; Social media; Three Gorges project; Topic Modeling; assessment method; development project; hydroelectric power; infrastructure planning; numerical model; participatory approach; perception; project assessment; public attitude; social media; spatiotemporal analysis; Social aspects","English","Article","Scopus"
"Mulyanie E.; Rohmat D.; Setiawan I.; Waluya B.","Mulyanie, Erni (59521026300); Rohmat, Dede (57202301412); Setiawan, Iwan (60372338100); Waluya, Bagja (57224233304)","59521026300; 57202301412; 60372338100; 57224233304","ENVIRONMENTAL DEGRADATION AND LAND USE CHANGE: AN INTERDISCIPLINARY ECOLOGICAL PERSPECTIVE","2025","0","","https://www.scopus.com/pages/publications/105023294880?origin=resultslist","This study assessed environmental issues and land use change in Tasikmalaya, West Java, Indonesia, through an interdisciplinary perspective. Field observations, assessment mapping, photo documentation of rivers, hills, and mining sites, and structured interviews were used to integrate ecological, geographical, and social insights. Results: Sand mining and land conversion were associated with vegetation loss, soil erosion, river sedimentation, biodiversity decline, and shifting livelihoods from agriculture toward extractive work. Reasoning: These outcomes occurred because intensive resource exploitation, limited enforcement, and weak monitoring disrupted habitats, altered hydrological processes, and reduced ecosystem services, while constrained economic options increased household dependence on mining. Impact: The study informs ecosystem-based restoration and sustainable land management, including reforestation, riverbank stabilization, and rehabilitation of mined lands, combined with community participation and livelihood support, to rebuild ecological function and social resilience. The integrated evidence provides a spatially explicit basis for policy and targeted action in mining-affected landscapes. © School of Engineering, Taylor’s University.","Biodiversity loss; Ecosystem restoration; Environmental issues; Land use change; Sand mining","","English","Article","Scopus"
"Khusna N.I.; Sumarmi; Bachri S.; Astina I.K.; Susilo S.; Idris","Khusna, Nur Isroatul (57217099361); Sumarmi (57201353799); Bachri, Syamsul (48961044300); Astina, I Komang (57208471315); Susilo, Singgih (57192383013); Idris (57201618174)","57217099361; 57201353799; 48961044300; 57208471315; 57192383013; 57201618174","Social resilience and disaster resilience: A strategy in disaster management efforts based on big data analysis in Indonesian's twitter users","2023","19","10.1016/j.heliyon.2023.e19669","https://www.scopus.com/pages/publications/85169904837?origin=resultslist","Disasters have various causes, disaster management efforts, and actors involved. A systematic big data analysis is needed to identify social resilience to determine the quality of the country's resilience on disasters. This study aims to (1) determine perceptions about the causes of disasters and (2) understand perceptions of disaster management efforts. (3) identify actors involved in disasters. (4) analyze the relationship between social resilience and disaster resilience using large data sources. (5) formulate a disaster management. The research was conducted by describing in detail from the opinions of the twitter user community about disasters using the text mining method. The data retrieval and analysis process was carried out using Computer-Assisted Qualitative Data Analysis Software (CAQDAS) with MAXQDA series 2020, Gephi version 0.10.0 and SWOT analysis. The results of the study show: (1) Most of the perceptions of the causes of disasters are associated with religion; (2) Most of the perceptions about disaster management efforts are based on the application of disaster management at the recovery stage; and (3) The actors who are most involved in disaster management efforts are the security forces countries. (4) There is a strong relationship between social resilience and disaster resilience, as shown by each actor having a role in disaster management efforts. (5) There are nine formulations of development strategies in disaster management efforts. The limitation of this research is that it only uses big data from Twitter and social media sources. The implications of this research can be used as a reference for governments, organizations, communities, or others involved in disaster management efforts, especially in countries that have diversity and are prone to disasters. © 2023 The Authors","Big data; Disaster; Resilience; Social; Twitter","","English","Article","Scopus"
